GridArea,Wikidata Division,Month Name,TotalDemand,TotalLoadShed,Population,DemandPerCapita,loadShedPerCapita,LoadShedPercentage,avgDemand,avgLoadShed,demandToLoadShedRatio
Barisal,http://www.wikidata.org/entity/Q459723,April,26499,120,8325666,0.003182808,1.44E-05,0.452847277,434.4098361,1.967213115,0.004508058
Chittagong,http://www.wikidata.org/entity/Q158087,April,79415,2087,29145000,0.002724824,7.16E-05,2.627967009,1301.885246,34.21311475,0.025606734
Dhaka,http://www.wikidata.org/entity/Q330158,April,269629,2396,49729000,0.005421967,4.82E-05,0.888628449,4420.147541,39.27868852,0.008808014
Khulna,http://www.wikidata.org/entity/Q501696,April,102181,1660,15687759,0.006513422,0.000105815,1.624568168,1675.098361,27.21311475,0.015985979
Mymensingh,http://www.wikidata.org/entity/Q19594930,April,70855,6339,11370000,0.00623175,0.00055752,8.946439912,1161.557377,103.9180328,0.082117781
Rajshahi,http://www.wikidata.org/entity/Q379382,April,93388,2008,18485858,0.005051862,0.000108624,2.150169187,1530.95082,32.91803279,0.021049101
Rangpur,http://www.wikidata.org/entity/Q876023,April,54768,2916,15787758,0.003469017,0.0001847,5.32427695,897.8360656,47.80327869,0.050551279
Sylhet,http://www.wikidata.org/entity/Q459732,April,29742,697,9807000,0.003032732,7.11E-05,2.343487324,487.5737705,11.42622951,0.022898256
Barisal,http://www.wikidata.org/entity/Q459723,August,23744,0,8325666,0.002851904,0,0,395.7333333,0,0
Chittagong,http://www.wikidata.org/entity/Q158087,August,77326,401,29145000,0.002653148,1.38E-05,0.518583659,1288.766667,6.683333333,0.005159082
Dhaka,http://www.wikidata.org/entity/Q330158,August,283266,2939,49729000,0.005696193,5.91E-05,1.037540686,4721.1,48.98333333,0.010268863
Khulna,http://www.wikidata.org/entity/Q501696,August,97814,1940,15687759,0.006235052,0.000123663,1.983356166,1630.233333,32.33333333,0.019447842
Mymensingh,http://www.wikidata.org/entity/Q19594930,August,68314,4950,11370000,0.006008267,0.000435356,7.245952513,1138.566667,82.5,0.067563879
Rajshahi,http://www.wikidata.org/entity/Q379382,August,85653,1802,18485858,0.004633434,9.75E-05,2.103837577,1427.55,30.03333333,0.020604883
Rangpur,http://www.wikidata.org/entity/Q876023,August,53824,1844,15787758,0.003409224,0.000116799,3.425980975,912.2711864,31.25423729,0.033124955
Sylhet,http://www.wikidata.org/entity/Q459732,August,34087,863,9807000,0.003475783,8.80E-05,2.531756975,568.1166667,14.38333333,0.024692418
Barisal,http://www.wikidata.org/entity/Q459723,December,15815,0,8325666,0.001899548,0,0,259.2622951,0,0
Chittagong,http://www.wikidata.org/entity/Q158087,December,62051,0,29145000,0.002129044,0,0,1017.229508,0,0
Dhaka,http://www.wikidata.org/entity/Q330158,December,215538,0,49729000,0.004334252,0,0,3533.409836,0,0
Khulna,http://www.wikidata.org/entity/Q501696,December,67121,0,15687759,0.004278559,0,0,1100.344262,0,0
Mymensingh,http://www.wikidata.org/entity/Q19594930,December,45776,38,11370000,0.004026033,3.34E-06,0.083012933,750.4262295,0.62295082,0.000829441
Rajshahi,http://www.wikidata.org/entity/Q379382,December,56052,0,18485858,0.003032156,0,0,918.8852459,0,0
Rangpur,http://www.wikidata.org/entity/Q876023,December,40493,0,15787758,0.002564835,0,0,663.8196721,0,0
Sylhet,http://www.wikidata.org/entity/Q459732,December,21817,0,9807000,0.002224635,0,0,357.6557377,0,0
Barisal,http://www.wikidata.org/entity/Q459723,February,15821,0,8325666,0.001900268,0,0,282.5178571,0,0
Chittagong,http://www.wikidata.org/entity/Q158087,February,57871,0,29145000,0.001985624,0,0,1033.410714,0,0
Dhaka,http://www.wikidata.org/entity/Q330158,February,206635,218,49729000,0.004155221,4.38E-06,0.105500036,3689.910714,3.892857143,0.001053889
Khulna,http://www.wikidata.org/entity/Q501696,February,66518,9,15687759,0.004240121,5.74E-07,0.013530172,1187.821429,0.160714286,0.000135283
Mymensingh,http://www.wikidata.org/entity/Q19594930,February,52479,2943,11370000,0.004615567,0.000258839,5.607957469,937.125,52.55357143,0.053101656
Rajshahi,http://www.wikidata.org/entity/Q379382,February,60532,225,18485858,0.003274503,1.22E-05,0.371704223,1080.928571,4.017857143,0.003703277
Rangpur,http://www.wikidata.org/entity/Q876023,February,41288,226,15787758,0.002615191,1.43E-05,0.54737454,737.2857143,4.035714286,0.005443947
Sylhet,http://www.wikidata.org/entity/Q459732,February,20307,14,9807000,0.002070664,1.43E-06,0.068941744,362.625,0.25,0.000688942
Barisal,http://www.wikidata.org/entity/Q459723,January,17044,0,8325666,0.002047164,0,0,274.9032258,0,0
Chittagong,http://www.wikidata.org/entity/Q158087,January,58808,135,29145000,0.002017773,4.63E-06,0.229560604,948.516129,2.177419355,0.002290348
Dhaka,http://www.wikidata.org/entity/Q330158,January,212557,1298,49729000,0.004274307,2.61E-05,0.610659729,3428.33871,20.93548387,0.006069533
Khulna,http://www.wikidata.org/entity/Q501696,January,71266,9655,15687759,0.004542778,0.000615448,13.54783487,1149.451613,155.7258065,0.119313899
Mymensingh,http://www.wikidata.org/entity/Q19594930,January,52820,1950,11370000,0.004645558,0.000171504,3.691783415,851.9354839,31.4516129,0.035603433
Rajshahi,http://www.wikidata.org/entity/Q379382,January,60983,951,18485858,0.0032989,5.14E-05,1.559450995,983.5967742,15.33870968,0.015355055
Rangpur,http://www.wikidata.org/entity/Q876023,January,42696,893,15787758,0.002704374,5.66E-05,2.091530823,688.6451613,14.40322581,0.02048682
Sylhet,http://www.wikidata.org/entity/Q459732,January,21966,275,9807000,0.002239829,2.80E-05,1.251934808,354.2903226,4.435483871,0.012364552
Barisal,http://www.wikidata.org/entity/Q459723,July,26366,110,8325666,0.003166834,1.32E-05,0.417203975,425.2580645,1.774193548,0.004154706
Chittagong,http://www.wikidata.org/entity/Q158087,July,81569,728,29145000,0.00279873,2.50E-05,0.892495924,1315.629032,11.74193548,0.008846009
Dhaka,http://www.wikidata.org/entity/Q330158,July,276915,2864,49729000,0.005568481,5.76E-05,1.034252388,4466.370968,46.19354839,0.010236651
Khulna,http://www.wikidata.org/entity/Q501696,July,105773,2097,15687759,0.006742391,0.000133671,1.982547531,1706.016129,33.82258065,0.019440067
Mymensingh,http://www.wikidata.org/entity/Q19594930,July,68794,3842,11370000,0.006050484,0.000337907,5.584789371,1109.580645,61.96774194,0.052893882
Rajshahi,http://www.wikidata.org/entity/Q379382,July,90518,1930,18485858,0.004896608,0.000104404,2.132172607,1459.967742,31.12903226,0.020876601
Rangpur,http://www.wikidata.org/entity/Q876023,July,57146,2801,15787758,0.00361964,0.000177416,4.901480419,921.7096774,45.17741935,0.046724607
Sylhet,http://www.wikidata.org/entity/Q459732,July,33794,760,9807000,0.003445906,7.75E-05,2.248919927,545.0645161,12.25806452,0.021994559
